k,l,u,v,rho,cluster,frame
156,27,3630.53,553.751,-3.3395,8,15
157,27,3652.56,554.051,-3.8319,8,15
157,26,3662.83,534.79,-3.3395,8,15
158,26,3685.31,535.018,-3.8319,8,15
158,25,3673.14,516.824,-4.0999,8,15
157,24,3662.51,496.756,-3.3395,8,15
157,25,3652.37,515.811,-3.8319,8,15
159,25,3695.6,515.824,-3.3395,8,15
159,26,3706.46,535.628,-4.0999,8,15
160,26,3728.14,534.77,-3.3395,8,15
161,27,3738.44,555.286,-4.0999,8,15
161,26,3750.63,535.145,-3.8319,8,15
162,25,3761.3,515.959,-3.3395,8,15
163,25,3784.58,516.108,-3.8319,8,15
164,25,3808.01,516.316,-4.0999,8,15
163,24,3795.2,496.528,-3.3395,8,15
164,24,3818.11,496.918,-3.8319,8,15
165,25,3826.75,514.868,-3.3395,8,15
164,26,3815.68,534.28,-3.8319,8,15
164,27,3804.26,553.994,-4.0999,8,15
163,26,3793.98,534.756,-3.3395,8,15
162,26,3771.85,535.47,-4.0999,8,15
163,27,3783.25,554.044,-3.8319,8,15
162,27,3760.81,553.836,-3.3395,8,15
161,28,3750.36,571.854,-3.8319,8,15
161,29,3738.64,590.968,-4.0999,8,15
161,30,3750.48,610.01,-3.8319,8,15
161,31,3738.59,629.248,-4.0999,8,15
162,31,3760.83,628.8,-3.3395,8,15
163,31,3782.65,628.881,-3.8319,8,15
162,32,3770.68,647.721,-4.0999,8,15
163,32,3793.24,648.071,-3.3395,8,15
164,33,3805.19,666.078,-4.0999,8,15
163,34,3793.79,685.308,-3.3395,8,15
163,33,3782.95,665.703,-3.8319,8,15
162,33,3760.82,665.774,-3.3395,8,15
161,32,3750.48,647.884,-3.8319,8,15
160,32,3728,647.92,-3.3395,8,15
159,32,3705.77,647.467,-4.0999,8,15
160,31,3717.81,628.984,-3.8319,8,15
159,31,3695.42,629.031,-3.3395,8,15
158,30,3685.18,609.858,-3.8319,8,15
157,30,3663.06,609.884,-3.3395,8,15
157,31,3653.04,629.59,-3.8319,8,15
158,29,3674.02,591.212,-4.0999,8,15
158,28,3685.19,571.791,-3.8319,8,15
157,28,3662.99,571.817,-3.3395,8,15
157,29,3652.98,591.176,-3.8319,8,15
159,29,3695.5,590.863,-3.3395,8,15
160,29,3717.95,591.006,-3.8319,8,15
159,28,3706.04,571.845,-4.0999,8,15
160,28,3728.19,571.774,-3.3395,8,15
160,27,3717.47,553.796,-3.8319,8,15
159,27,3695.44,553.667,-3.3395,8,15
159,30,3706.25,610.275,-4.0999,8,15
160,30,3728.17,609.925,-3.3395,8,15
160,33,3717.38,665.437,-3.8319,8,15
164,31,3803.85,629.858,-4.0999,8,15
163,30,3793.33,609.81,-3.3395,8,15
164,29,3804.42,590.793,-4.0999,8,15
164,28,3814.74,571.188,-3.8319,8,15
163,28,3793.43,571.726,-3.3395,8,15
162,28,3770.7,571.91,-4.0999,8,15
163,29,3782.82,590.899,-3.8319,8,15
162,29,3760.91,590.842,-3.3395,8,15
165,27,3825.82,553.132,-3.3395,8,15
165,31,3824.92,629.493,-3.3395,8,15
155,48,3619.48,977.895,-3.81216,17,15
156,48,3640.74,979.035,-4.08016,17,15
156,47,3628.87,959.047,-3.31975,17,15
157,47,3651.52,959.461,-3.81216,17,15
156,46,3638.86,940.843,-4.08016,17,15
157,46,3661.76,940.472,-3.31975,17,15
158,47,3672.46,960.664,-4.08016,17,15
158,46,3683.93,941.3,-3.81216,17,15
159,47,3694.66,959.437,-3.31975,17,15
159,48,3705.61,979.933,-4.08016,17,15
160,47,3716.89,959.887,-3.81216,17,15
160,46,3727.59,940.812,-3.31975,17,15
161,46,3750.49,941.467,-3.81216,17,15
161,47,3738.39,960.642,-4.08016,17,15
162,47,3760.31,959.449,-3.31975,17,15
163,47,3782.96,959.772,-3.81216,17,15
162,48,3770.5,978.998,-4.08016,17,15
163,49,3782.08,996.557,-3.81216,17,15
162,50,3769.95,1015.93,-4.08016,17,15
163,50,3792.54,1015.52,-3.31975,17,15
163,51,3781.96,1034.77,-3.81216,17,15
162,52,3769.84,1054.09,-4.08016,17,15
163,52,3792.58,1053.27,-3.31975,17,15
163,53,3781.88,1072.76,-3.81216,17,15
162,53,3760.01,1072.77,-3.31975,17,15
161,53,3737.98,1072.97,-4.08016,17,15
161,52,3749.66,1053.68,-3.81216,17,15
160,52,3727.5,1053.62,-3.31975,17,15
159,52,3705.65,1054.11,-4.08016,17,15
160,51,3717.03,1034.73,-3.81216,17,15
